,TPR,group_value,group_variable,k,model_id,parameter,TNR,FOmR,FDR,FPR,FNR,NPV,Precision,PP,PN,PPR,PPrev,FP,FN,TN,TP,group_label_neg,group_label_pos,group_size,total_entities,Prev,PPR_disparity,PPrev_disparity,FDR_disparity,FOmR_disparity,FPR_disparity,FNR_disparity,PPR_ref_group_value,PPrev_ref_group_value,FDR_ref_group_value,FOmR_ref_group_value,FPR_ref_group_value,FNR_ref_group_value
41,0.010526315789473684,Bachelors,education,100,1,100_abs,0.9886246122026887,0.4076827757125155,0.6111111111111112,0.011375387797311272,0.9894736842105263,0.5923172242874845,0.3888888888888889,18,1614,0.18,0.011029411764705883,11,658,956,7,967,665,1632,9769,0.4074754901960784,0.6923076923076923,1.3634049773755657,0.7222222222222223,2.6256417959020193,1.40382626680455,0.9974694311536416,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
42,0.02197802197802198,Doctorate,education,100,1,100_abs,0.9705882352941176,0.7295081967213115,0.3333333333333333,0.029411764705882353,0.978021978021978,0.27049180327868855,0.6666666666666666,3,122,0.03,0.024,1,89,33,2,34,91,125,9769,0.728,0.11538461538461538,2.9667692307692306,0.3939393939393939,4.6983275376718,3.6296791443850265,0.9859251859251859,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
43,0.008016032064128256,HS-grad,education,100,1,100_abs,0.9918968692449356,0.15526976160602257,0.8461538461538461,0.008103130755064457,0.9919839679358717,0.8447302383939774,0.15384615384615385,26,3188,0.26,0.008089607965152458,22,495,2693,4,2715,499,3214,9769,0.1552582451773491,1.0,1.0,1.0,1.0,1.0,1.0,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
44,0.01444043321299639,Masters,education,100,1,100_abs,0.9852941176470589,0.5759493670886076,0.42857142857142855,0.014705882352941176,0.9855595667870036,0.4240506329113924,0.5714285714285714,7,474,0.07,0.014553014553014554,3,273,201,4,204,277,481,9769,0.5758835758835759,0.2692307692307693,1.7989764912841837,0.5064935064935064,3.7093466308656184,1.8148395721925132,0.9935236844984138,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
45,0.0,Preschool,education,100,1,100_abs,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,16,0.0,0.0,0,0,16,0,16,0,16,9769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
46,0.0,Prof-school,education,100,1,100_abs,0.9814814814814815,0.7005649717514124,1.0,0.018518518518518517,1.0,0.2994350282485876,0.0,1,177,0.01,0.0056179775280898875,1,124,53,0,54,124,178,9769,0.6966292134831461,0.038461538461538464,0.6944684528954191,1.1818181818181819,4.511921474633339,2.285353535353535,1.0080808080808081,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
47,0.0,Some-college,education,100,1,100_abs,0.9910112359550561,0.19488817891373802,1.0,0.008988764044943821,1.0,0.805111821086262,0.0,16,2191,0.16,0.007249660172179429,16,427,1764,0,1780,427,2207,9769,0.19347530584503853,0.6153846153846154,0.8961695305147955,1.1818181818181819,1.255158614903024,1.1092951991828397,1.0080808080808081,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
48,1.0,10th,education,9769,1,1.0_pct,0.0,0.0,0.9383561643835616,1.0,0.0,0.0,0.06164383561643835,292,0,0.02989046985361859,1.0,274,0,0,18,274,18,292,9769,0.06164383561643835,0.0908525202240199,1.0,1.1108201518706324,1.0,1.0,1.0,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
49,1.0,11th,education,9769,1,1.0_pct,0.0,0.0,0.9560117302052786,1.0,0.0,0.0,0.04398826979472141,341,0,0.034906336370150476,1.0,326,0,0,15,326,15,341,9769,0.04398826979472141,0.10609831985065338,1.0,1.1317207001398768,1.0,1.0,1.0,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
50,1.0,12th,education,9769,1,1.0_pct,0.0,0.0,0.9310344827586207,1.0,0.0,0.0,0.06896551724137931,116,0,0.011874296243218344,1.0,108,0,0,8,108,8,116,9769,0.06896551724137931,0.03609209707529558,1.0,1.102152791007811,1.0,1.0,1.0,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
51,1.0,1st-4th,education,9769,1,1.0_pct,0.0,0.0,0.9555555555555556,1.0,0.0,0.0,0.044444444444444446,45,0,0.004606408025386427,1.0,43,0,0,2,43,2,45,9769,0.044444444444444446,0.014001244555071561,1.0,1.1311806834458769,1.0,1.0,1.0,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
52,1.0,5th-6th,education,9769,1,1.0_pct,0.0,0.0,0.9493670886075949,1.0,0.0,0.0,0.05063291139240506,79,0,0.008086805200122837,1.0,75,0,0,4,75,4,79,9769,0.05063291139240506,0.024579962663347853,1.0,1.1238548150220296,1.0,1.0,1.0,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
53,1.0,7th-8th,education,9769,1,1.0_pct,0.0,0.0,0.9617486338797814,1.0,0.0,0.0,0.03825136612021858,183,0,0.0187327259699048,1.0,176,0,0,7,176,7,183,9769,0.03825136612021858,0.05693839452395768,1.0,1.1385120107880726,1.0,1.0,1.0,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
54,1.0,9th,education,9769,1,1.0_pct,0.0,0.0,0.9470198675496688,1.0,0.0,0.0,0.052980132450331126,151,0,0.01545705804074112,1.0,143,0,0,8,143,8,151,9769,0.052980132450331126,0.046981953951462346,1.0,1.121076189430805,1.0,1.0,1.0,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
55,1.0,Assoc-acdm,education,9769,1,1.0_pct,0.0,0.0,0.7128712871287128,1.0,0.0,0.0,0.2871287128712871,303,0,0.031016480704268604,1.0,216,0,0,87,216,87,303,9769,0.2871287128712871,0.09427504667081518,1.0,0.8438925660521853,1.0,1.0,1.0,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
56,1.0,Assoc-voc,education,9769,1,1.0_pct,0.0,0.0,0.7044334975369458,1.0,0.0,0.0,0.2955665024630542,406,0,0.04156003685126421,1.0,286,0,0,120,286,120,406,9769,0.2955665024630542,0.12632233976353455,1.0,0.8339039635667566,1.0,1.0,1.0,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
57,1.0,Bachelors,education,9769,1,1.0_pct,0.0,0.0,0.5925245098039216,1.0,0.0,0.0,0.4074754901960784,1632,0,0.16705906438734774,1.0,967,0,0,665,967,665,1632,9769,0.4074754901960784,0.507778469197262,1.0,0.7014268046076626,1.0,1.0,1.0,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
58,1.0,Doctorate,education,9769,1,1.0_pct,0.0,0.0,0.272,1.0,0.0,0.0,0.728,125,0,0.012795577848295629,1.0,34,0,0,91,34,91,125,9769,0.728,0.03889234598630989,1.0,0.32199189686924495,1.0,1.0,1.0,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
59,1.0,HS-grad,education,9769,1,1.0_pct,0.0,0.0,0.8447417548226509,1.0,0.0,0.0,0.1552582451773491,3214,0,0.32899989763537724,1.0,2715,0,0,499,2715,499,3214,9769,0.1552582451773491,1.0,1.0,1.0,1.0,1.0,1.0,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
60,1.0,Masters,education,9769,1,1.0_pct,0.0,0.0,0.42411642411642414,1.0,0.0,0.0,0.5758835758835759,481,0,0.04923738356024158,1.0,204,0,0,277,204,277,481,9769,0.5758835758835759,0.14965774735532045,1.0,0.5020663672597374,1.0,1.0,1.0,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
61,0.0,Preschool,education,9769,1,1.0_pct,0.0,0.0,1.0,1.0,0.0,0.0,0.0,16,0,0.0016378339645818406,1.0,16,0,0,0,16,0,16,9769,0.0,0.004978220286247666,1.0,1.1837937384898711,1.0,1.0,1.0,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
62,1.0,Prof-school,education,9769,1,1.0_pct,0.0,0.0,0.30337078651685395,1.0,0.0,0.0,0.6966292134831461,178,0,0.018220902855972977,1.0,54,0,0,124,54,124,178,9769,0.6966292134831461,0.05538270068450529,1.0,0.3591284375193991,1.0,1.0,1.0,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
63,1.0,Some-college,education,9769,1,1.0_pct,0.0,0.0,0.8065246941549615,1.0,0.0,0.0,0.19347530584503853,2207,0,0.22591872248950762,1.0,1780,0,0,427,1780,427,2207,9769,0.19347530584503853,0.6866832607342874,1.0,0.9547588828781017,1.0,1.0,1.0,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
64,1.0,10th,education,9769,1,2.0_pct,0.0,0.0,0.9383561643835616,1.0,0.0,0.0,0.06164383561643835,292,0,0.02989046985361859,1.0,274,0,0,18,274,18,292,9769,0.06164383561643835,0.0908525202240199,1.0,1.1108201518706324,1.0,1.0,1.0,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
65,1.0,11th,education,9769,1,2.0_pct,0.0,0.0,0.9560117302052786,1.0,0.0,0.0,0.04398826979472141,341,0,0.034906336370150476,1.0,326,0,0,15,326,15,341,9769,0.04398826979472141,0.10609831985065338,1.0,1.1317207001398768,1.0,1.0,1.0,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
66,1.0,12th,education,9769,1,2.0_pct,0.0,0.0,0.9310344827586207,1.0,0.0,0.0,0.06896551724137931,116,0,0.011874296243218344,1.0,108,0,0,8,108,8,116,9769,0.06896551724137931,0.03609209707529558,1.0,1.102152791007811,1.0,1.0,1.0,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
67,1.0,1st-4th,education,9769,1,2.0_pct,0.0,0.0,0.9555555555555556,1.0,0.0,0.0,0.044444444444444446,45,0,0.004606408025386427,1.0,43,0,0,2,43,2,45,9769,0.044444444444444446,0.014001244555071561,1.0,1.1311806834458769,1.0,1.0,1.0,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
68,1.0,5th-6th,education,9769,1,2.0_pct,0.0,0.0,0.9493670886075949,1.0,0.0,0.0,0.05063291139240506,79,0,0.008086805200122837,1.0,75,0,0,4,75,4,79,9769,0.05063291139240506,0.024579962663347853,1.0,1.1238548150220296,1.0,1.0,1.0,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
69,1.0,7th-8th,education,9769,1,2.0_pct,0.0,0.0,0.9617486338797814,1.0,0.0,0.0,0.03825136612021858,183,0,0.0187327259699048,1.0,176,0,0,7,176,7,183,9769,0.03825136612021858,0.05693839452395768,1.0,1.1385120107880726,1.0,1.0,1.0,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
70,1.0,9th,education,9769,1,2.0_pct,0.0,0.0,0.9470198675496688,1.0,0.0,0.0,0.052980132450331126,151,0,0.01545705804074112,1.0,143,0,0,8,143,8,151,9769,0.052980132450331126,0.046981953951462346,1.0,1.121076189430805,1.0,1.0,1.0,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
