,TPR,group_value,group_variable,k,model_id,parameter,TNR,FOmR,FDR,FPR,FNR,NPV,Precision,PP,PN,PPR,PPrev,FP,FN,TN,TP,group_label_neg,group_label_pos,group_size,total_entities,Prev
55,1.0, Assoc-acdm,education,9769,1,10.0_pct,0.0,0.0,0.7128712871287128,1.0,0.0,0.0,0.2871287128712871,303,0,0.031016480704268604,1.0,216,0,0,87,216,87,303,9769,0.2871287128712871
56,0.0, Assoc-voc,education,10,1,10_abs,0.9965034965034965,0.2962962962962963,1.0,0.0034965034965034965,1.0,0.7037037037037037,0.0,1,405,0.1,0.0024630541871921183,1,120,285,0,286,120,406,9769,0.2955665024630542
57,0.0, Assoc-voc,education,50,1,50_abs,0.993006993006993,0.297029702970297,1.0,0.006993006993006993,1.0,0.7029702970297029,0.0,2,404,0.04,0.0049261083743842365,2,120,284,0,286,120,406,9769,0.2955665024630542
58,0.0, Assoc-voc,education,100,1,100_abs,0.993006993006993,0.297029702970297,1.0,0.006993006993006993,1.0,0.7029702970297029,0.0,2,404,0.02,0.0049261083743842365,2,120,284,0,286,120,406,9769,0.2955665024630542
59,1.0, Assoc-voc,education,9769,1,1.0_pct,0.0,0.0,0.7044334975369458,1.0,0.0,0.0,0.2955665024630542,406,0,0.04156003685126421,1.0,286,0,0,120,286,120,406,9769,0.2955665024630542
60,1.0, Assoc-voc,education,9769,1,2.0_pct,0.0,0.0,0.7044334975369458,1.0,0.0,0.0,0.2955665024630542,406,0,0.04156003685126421,1.0,286,0,0,120,286,120,406,9769,0.2955665024630542
61,1.0, Assoc-voc,education,9769,1,5.0_pct,0.0,0.0,0.7044334975369458,1.0,0.0,0.0,0.2955665024630542,406,0,0.04156003685126421,1.0,286,0,0,120,286,120,406,9769,0.2955665024630542
62,1.0, Assoc-voc,education,9769,1,10.0_pct,0.0,0.0,0.7044334975369458,1.0,0.0,0.0,0.2955665024630542,406,0,0.04156003685126421,1.0,286,0,0,120,286,120,406,9769,0.2955665024630542
63,0.0, Bachelors,education,10,1,10_abs,1.0,0.4074754901960784,0.0,0.0,1.0,0.5925245098039216,0.0,0,1632,0.0,0.0,0,665,967,0,967,665,1632,9769,0.4074754901960784
64,0.0015037593984962407, Bachelors,education,50,1,50_abs,0.9958634953464323,0.40811309157959436,0.8,0.004136504653567736,0.9984962406015038,0.5918869084204057,0.2,5,1627,0.1,0.0030637254901960784,4,664,963,1,967,665,1632,9769,0.4074754901960784
65,0.0015037593984962407, Bachelors,education,100,1,100_abs,0.9917269906928645,0.4091189155884165,0.8888888888888888,0.008273009307135471,0.9984962406015038,0.5908810844115835,0.1111111111111111,9,1623,0.09,0.0055147058823529415,8,664,959,1,967,665,1632,9769,0.4074754901960784
66,1.0, Bachelors,education,9769,1,1.0_pct,0.0,0.0,0.5925245098039216,1.0,0.0,0.0,0.4074754901960784,1632,0,0.16705906438734774,1.0,967,0,0,665,967,665,1632,9769,0.4074754901960784
67,1.0, Bachelors,education,9769,1,2.0_pct,0.0,0.0,0.5925245098039216,1.0,0.0,0.0,0.4074754901960784,1632,0,0.16705906438734774,1.0,967,0,0,665,967,665,1632,9769,0.4074754901960784
68,1.0, Bachelors,education,9769,1,5.0_pct,0.0,0.0,0.5925245098039216,1.0,0.0,0.0,0.4074754901960784,1632,0,0.16705906438734774,1.0,967,0,0,665,967,665,1632,9769,0.4074754901960784
69,1.0, Bachelors,education,9769,1,10.0_pct,0.0,0.0,0.5925245098039216,1.0,0.0,0.0,0.4074754901960784,1632,0,0.16705906438734774,1.0,967,0,0,665,967,665,1632,9769,0.4074754901960784
70,0.0, Doctorate,education,10,1,10_abs,1.0,0.728,0.0,0.0,1.0,0.272,0.0,0,125,0.0,0.0,0,91,34,0,34,91,125,9769,0.728
71,0.0, Doctorate,education,50,1,50_abs,1.0,0.728,0.0,0.0,1.0,0.272,0.0,0,125,0.0,0.0,0,91,34,0,34,91,125,9769,0.728
72,0.0, Doctorate,education,100,1,100_abs,1.0,0.728,0.0,0.0,1.0,0.272,0.0,0,125,0.0,0.0,0,91,34,0,34,91,125,9769,0.728
73,1.0, Doctorate,education,9769,1,1.0_pct,0.0,0.0,0.272,1.0,0.0,0.0,0.728,125,0,0.012795577848295629,1.0,34,0,0,91,34,91,125,9769,0.728
74,1.0, Doctorate,education,9769,1,2.0_pct,0.0,0.0,0.272,1.0,0.0,0.0,0.728,125,0,0.012795577848295629,1.0,34,0,0,91,34,91,125,9769,0.728
75,1.0, Doctorate,education,9769,1,5.0_pct,0.0,0.0,0.272,1.0,0.0,0.0,0.728,125,0,0.012795577848295629,1.0,34,0,0,91,34,91,125,9769,0.728
76,1.0, Doctorate,education,9769,1,10.0_pct,0.0,0.0,0.272,1.0,0.0,0.0,0.728,125,0,0.012795577848295629,1.0,34,0,0,91,34,91,125,9769,0.728
77,0.0, HS-grad,education,10,1,10_abs,0.998158379373849,0.15550015581177937,1.0,0.001841620626151013,1.0,0.8444998441882207,0.0,5,3209,0.5,0.0015556938394523958,5,499,2710,0,2715,499,3214,9769,0.1552582451773491
78,0.004008016032064128, HS-grad,education,50,1,50_abs,0.9930018416206261,0.15565299091763232,0.9047619047619048,0.006998158379373849,0.9959919839679359,0.8443470090823677,0.09523809523809523,21,3193,0.42,0.006533914125700062,19,497,2696,2,2715,499,3214,9769,0.1552582451773491
79,0.004008016032064128, HS-grad,education,100,1,100_abs,0.9863720073664825,0.15653543307086615,0.9487179487179487,0.013627992633517496,0.9959919839679359,0.8434645669291339,0.05128205128205128,39,3175,0.39,0.012134411947728687,37,497,2678,2,2715,499,3214,9769,0.1552582451773491
80,1.0, HS-grad,education,9769,1,1.0_pct,0.0,0.0,0.8447417548226509,1.0,0.0,0.0,0.1552582451773491,3214,0,0.32899989763537724,1.0,2715,0,0,499,2715,499,3214,9769,0.1552582451773491
